"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL"
"b0adba59722aec48a1ff459ef8a90799",1411167,"Programação I",2016,1,3.5
"b0adba59722aec48a1ff459ef8a90799",1411174,"Introdução à Computação",2016,1,6
"b0adba59722aec48a1ff459ef8a90799",1411180,"Laboratório de Programação I",2016,1,3.5
"faaf45fda141ec2cb561c2f1274706b3",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,7.5
"faaf45fda141ec2cb561c2f1274706b3",1109103,"Cálculo Diferencial e Integral I",2016,1,7.4
"faaf45fda141ec2cb561c2f1274706b3",1307151,"Leitura e Produção de Textos",2016,1,9.3
"faaf45fda141ec2cb561c2f1274706b3",1411167,"Programação I",2016,1,9.6
"faaf45fda141ec2cb561c2f1274706b3",1411174,"Introdução à Computação",2016,1,8.5
"faaf45fda141ec2cb561c2f1274706b3",1411180,"Laboratório de Programação I",2016,1,9.6
"f71c16557d5bcc87fe0fa15d064d7b35",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,3.5
"f71c16557d5bcc87fe0fa15d064d7b35",1109103,"Cálculo Diferencial e Integral I",2016,1,7.8
"f71c16557d5bcc87fe0fa15d064d7b35",1307151,"Leitura e Produção de Textos",2016,1,9.7
"f71c16557d5bcc87fe0fa15d064d7b35",1411167,"Programação I",2016,1,6.9
"f71c16557d5bcc87fe0fa15d064d7b35",1411174,"Introdução à Computação",2016,1,6.2
"f71c16557d5bcc87fe0fa15d064d7b35",1411180,"Laboratório de Programação I",2016,1,6.9
"768a1b0f93aa06b17392afc75aa73626",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,2
"768a1b0f93aa06b17392afc75aa73626",1109103,"Cálculo Diferencial e Integral I",2016,1,4.6
"768a1b0f93aa06b17392afc75aa73626",1307151,"Leitura e Produção de Textos",2016,1,9
"768a1b0f93aa06b17392afc75aa73626",1411167,"Programação I",2016,1,8.9
"768a1b0f93aa06b17392afc75aa73626",1411174,"Introdução à Computação",2016,1,7.8
"768a1b0f93aa06b17392afc75aa73626",1411180,"Laboratório de Programação I",2016,1,8.9
"be2aa86679aba15822f7d7518cee1cbe",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"be2aa86679aba15822f7d7518cee1cbe",1109103,"Cálculo Diferencial e Integral I",2016,1,5.7
"be2aa86679aba15822f7d7518cee1cbe",1307151,"Leitura e Produção de Textos",2016,1,9.7
"be2aa86679aba15822f7d7518cee1cbe",1411174,"Introdução à Computação",2016,1,6.2
"be2aa86679aba15822f7d7518cee1cbe",1411180,"Laboratório de Programação I",2016,1,5.8
"05a93144859c730c2fce529038f477e8",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,8.3
"05a93144859c730c2fce529038f477e8",1109103,"Cálculo Diferencial e Integral I",2016,1,9
"05a93144859c730c2fce529038f477e8",1307151,"Leitura e Produção de Textos",2016,1,9.5
"05a93144859c730c2fce529038f477e8",1411167,"Programação I",2016,1,9.9
"05a93144859c730c2fce529038f477e8",1411174,"Introdução à Computação",2016,1,8
"05a93144859c730c2fce529038f477e8",1411180,"Laboratório de Programação I",2016,1,9.9
"1a807001a5d2fdf97f4cc612d8f7842d",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"1a807001a5d2fdf97f4cc612d8f7842d",1109103,"Cálculo Diferencial e Integral I",2016,1,NA
"1a807001a5d2fdf97f4cc612d8f7842d",1411167,"Programação I",2016,1,NA
"1a807001a5d2fdf97f4cc612d8f7842d",1411174,"Introdução à Computação",2016,1,NA
"e994e0c371fd934ae467e2f79989c19e",1109103,"Cálculo Diferencial e Integral I",2016,1,NA
"1bca14b970bc77d7a27eb2bbaf2cabda",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"1bca14b970bc77d7a27eb2bbaf2cabda",1109103,"Cálculo Diferencial e Integral I",2016,1,NA
"1bca14b970bc77d7a27eb2bbaf2cabda",1411167,"Programação I",2016,1,4.2
"1bca14b970bc77d7a27eb2bbaf2cabda",1411174,"Introdução à Computação",2016,1,3.1
"1bca14b970bc77d7a27eb2bbaf2cabda",1411180,"Laboratório de Programação I",2016,1,4.2
"d38ce708da79a247a23b546734b090ca",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5.8
"d38ce708da79a247a23b546734b090ca",1109103,"Cálculo Diferencial e Integral I",2016,1,7.1
